log_level,log_entry
INFO,"17/06/10 15:22:13 INFO python.PythonRunner: Times: total = 39, boot = -9, init = 48, finish = 0"
INFO,17/06/10 15:22:16 INFO storage.BlockManager: Found block rdd_420_18 locally
INFO,17/06/10 15:23:44 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 254
INFO,"17/06/10 15:21:21 INFO python.PythonRunner: Times: total = 39, boot = 11, init = 28, finish = 0"
INFO,17/06/10 15:23:47 INFO mapred.SparkHadoopMapRedUtil: attempt_201706101522_0263_m_000002_5262: Committed
INFO,"17/06/10 15:21:57 INFO python.PythonRunner: Times: total = 38, boot = 14, init = 24, finish = 0"
INFO,17/06/10 15:23:17 INFO executor.Executor: Finished task 2.0 in stage 122.0 (TID 2442). 2135 bytes result sent to driver
INFO,17/06/10 15:23:19 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 2684
INFO,17/06/10 15:22:04 INFO storage.BlockManager: Found block rdd_298_13 locally
INFO,"17/06/10 15:21:51 INFO python.PythonRunner: Times: total = 38, boot = -82, init = 119, finish = 1"
